Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Забарна,Галина,Степанівна,Жіноча,1965-04-24,Євнух,селище Новоукраїнка,"сквер Іванова, буд. 9 кв. 55, Обухів, 74933",020 385 35 63,albertbebeshko@example.com
Гук,Тарас,Вікторович,Чоловіча,1991-04-11,Електрик,хутір Полонне,"сквер Сибірська, буд. 90, Немирів, 31052",466 03 43,okhrimhohol-ianovska@example.com
Дрозденко,Данна,Іванівна,Жіноча,1940-07-15,Кінорежисер,селище Сарни,"узвіз Маршала Бабаджаняна, буд. 628, Івано-Франківськ, 97771",+380 83 418-78-97,ccherinko@example.net
Їжак,Юхим,Вікторович,Чоловіча,1984-12-01,Актор,село Іршава,"проспект Амбулаторна, буд. 7 кв. 8, Харцизьк, 76535",000 604-48-34,demyd99@example.com
Хоменко,Левко,Михайлович,Чоловіча,2005-08-24,Маркетолог,хутір Яворів,"узвіз Артезіанська, буд. 95 кв. 44, Богодухів, 64852",+380 50 349 41 84,adanyliuk@example.org
Вівчаренко,Алевтин,Васильович,Чоловіча,1988-12-19,Провізор,село Краматорськ,"вулиця Рівності, буд. 3, Носівка, 12611",476 41 82,kyrylohaievska@example.org
Франчук,Сніжана,Богданівна,Жіноча,1945-05-14,Геофізик,місто Сторожинець,"набережна Солонцюватий, буд. 63, Голубівка, 32390",+380 97 384-87-49,fhaidamaka@example.com
Арсенич,Лілія,Володимирівна,Жіноча,1943-03-16,Археолог,місто Ходорів,"проспект Агрономічний, буд. 765, Ічня, 22326",616-98-59,ievtushokmykyta@example.org
Чміль,Вікторія,Василівна,Жіноча,2002-09-20,Будник,хутір Глиняни,"проспект Вернидуба, буд. 3, Армянськ, 92262",+380 (19) 204-35-07,tsiutsiurastefan@example.com
Верес,Софія,Іванівна,Жіноча,1981-02-23,Нотаріус,місто Хирів,"парк Проектний 5-й, буд. 69, Білозерське, 93889",+380 (59) 850-11-65,sviatoslava85@example.org
Валенко,Демид,Юрійович,Чоловіча,1975-12-25,Вчитель,селище Покровськ,"набережна Курортний 6-й, буд. 689 кв. 6, Сніжне, 94433",548 19 59,varvara81@example.com
Уманець,Лілія,Вікторівна,Жіноча,1945-11-12,Фольклорист,село Олешки,"парк Маршала Говорова, буд. 1 кв. 717, Яготин, 45023",+380 (64) 362-87-28,omakohon@example.org
Верес,Соломія,Павлівна,Жіноча,2006-07-13,Гірничий інженер,селище Стебник,"набережна Левітана, буд. 721 кв. 77, Гірник , 53886",845 71 26,fursliubov@example.org
Шведченко,Василь,Петрович,Чоловіча,1952-07-09,Астроном,хутір Вознесенськ,"провулок Естафетна, буд. 466, Бердянськ, 30456",435 19 96,khoma44@example.net
Проценко,Мирон,Васильович,Чоловіча,2002-04-21,Зоолог,хутір Ірміно,"сквер Капітана Кузнецова, буд. 9, Дніпрорудне, 71865",+380 71 378 07 87,petrorebryk@example.com
Архипенко,Едита,Андріївна,Жіноча,1940-11-29,Фольклорист,селище Єнакієве,"шосе Дорбуду, буд. 3 кв. 078, Запоріжжя, 90293",+380 29 214-51-26,mykhailynalesyk@example.net
Ємельяненко,Ольга,Миколаївна,Жіноча,1967-01-26,Біолог,селище Угнів,"парк Дорбуду, буд. 067 кв. 03, Бердянськ, 04409",034 362 17 92,tarasvalenko@example.org
Чумак,Августин,Олегович,Чоловіча,2003-03-22,Петрограф,село Іллінці,"узвіз Місячна, буд. 221 кв. 39, Гайсин, 24258",+380 44 758-07-21,babiichukustym@example.com
